address,value
0xc97483c9374A552e83D174FfBfDB199645251090,1
0x03AD74B8Cecac4237bDf42D0A636Ea3d8f926997,1
0xDaF77e68cC4fe0262556333804ED29AaC7ca0FD5,1
0x2C07A2aC29541b9124dA12836729d6305494D6f0,1
0x9db94D39d080757777eb329aE0B9D9b48dD9fC17,1
0x3bb73Db3075bBE3A5A32ffEC8B276440Bd31A9C3,1
0x199bF07Ba322200a5D80B0c7F94BDfF897774418,1
0xA550b820A15B56a09601224A67399B1056d1E29b,1
0x9e861123512BbD36684c0b9e556Ac908554481F1,1
0x267380c89d03Cac340e6F77200C14634Ff9A8Cf5,1
0xDB2a35EEBEc15f85F436Ece31C44f0F41bDAe379,1
0x76e9a895466855167431d89620Dca893eF3eb076,1
0x0C8911aAC605A66d19b40a3Cc65E49a663E27353,1
0xDb5bc04BAD830949bCc373BB3148500Bc9202A75,1
0x98FA660f9C86E7b8Dc1D27Ef037bE8b93D302B45,1
0x0B6169ec11b1b1eBE6FE0b97d3D4f2C42A9563a8,1
0x680c863be2807f864FC23d1aa61985ab4c576a62,1
0x48A5EF0d3e94F563d6f6f730D4Ae0e9f372F6F4E,1
0xE1002D17736F398Aa28aD8C921930436ed3c158E,1
0x91bf580a7A3B62d1EC3Cb626912D783358168271,1
0x164EDF49866D5EE76C4aDf92Af6C5B9Dc0ef145d,1
0xb485696073ee55292db0136c8488206B52A27C3F,1
0xB77729E9C00a508351BD81f01657eB2DbAC247eA,1
0xb6c993b5353911fe424022DEe1Df0f564a775567,1
0x3Cea4578879dd9ABD704061250E56Bd4EaAf2bBB,1
0x3277535505EF4F1f57DC735b128f642363AA9550,1
0xD3B0bd1B1D169DAEEa4fe6eeE1c3016c6Ac4fBd7,1
0x0B7f90d57a47aCB94025CC2420D49a9E0B8aA032,1
0x0e83C83088f347f3362C6C9871b9540cF88AF278,1
0xa56d087a520C90058a11E4c9D0cc435f579B292D,1
0x8a57c58D57Aba857A85E71DF478a3b80615bf27D,1
0x21f434F9eF4403C628e37f202464d63A15Aa7ff2,1
0x32853E598d4707E7fe468d4B310076dcFbC35653,1
0x3c6F7999E37aE559D881E19D0C77abF5cD2DEe68,1
0x6B61Af09B141cBb93a73246Fc7945732e3A7bC06,1
0x46Beb051AD9b46a5f689D93e8363e947Ab840856,1
0xdEca0AF7A6c90e90F108b2492b8D00827CF12E3C,1
0xB7b5A311D33219cc115FEBc1Ee3f97C20054044c,1
0xdEf76dC86C5003a7382bb97900b4C6c475FDBfbA,1
0x1F5638B94302B8FfC6a92d68472594eD8F9d9FBb,1
0x74436696eC5ea55F3Bf15e5D4dF78a5954b7ABE5,1
0xC63Fc68ABbA168138d5F7952970fDe5eA264008D,1
0xdF2E6c6194119D92c2FEaEA92f33b70c51a97cE1,1
0xf139513a12DfEb5e1C76C2AB4cA603b845B6a5e6,1
0x87dffA17941A3865696Fc6d1e586eF2E63356070,1
0x43c2D559c1e65f2B2Ed35703a89df558c7f73Bca,1
0xa606a14115bc9a1751F5a28395B7bE3B353922Bb,1
0xdF81879D148331FeAc334a3c5F3E1B5C3Ed458AA,1
0xD411E48740A9Fd38C8ec8E7D232A23fb1B1E4cAd,1
0x65dBfeA82E8C3045ac8f6d5AA8ba9423dE485231,1
0x10712cB7A9D7E306cb81dD9a450ef5324Db0D79b,1
0x6eed6d0B620c01627893AF99521b7092311cb9AC,1
0xdFFcE7d1D06B75168BC1978cE901331a04A094eC,1
0x78b74016f06EEA3D9b5498aa30f6981F2A01cC84,1
0xD435cf4FBAd8D71cffBEA0D6a587da3c27C8BC36,1
0x9e0caf76A6352abFAB2C6e0e1fEAf3e08618B5f3,1
0x6ef3913Ff65F8a21715080b89eF4d4102379b578,1
0xcA7Ee0fFc76485609959935495DB955B1De9aEf1,1
0x3c862CFde08D9b33EE1506F9013C8eDc23f0E77F,1
0xf1a41319ce7cB77A6BAa7950daCb488f9Ff7d46F,1
0x7bc06eFaDE5cC10976154a070060e744B2348628,1
0xD4627fD6840D8CBe44e39521D39a637191cfAf02,1
0x26Ef3689bf05e05aB15728Fbc7863A12EB62d2fd,1
0xa6931696Bd803C1fF1b56f4d87Df1C797592C7d4,1
0x8b0C7e2E1a45De36a33E1e816315bBB982710Fa4,1
0x46F49941E8a6512319668Fb5D3ceBD49A8ca695A,1
0xcB517F9b488f8649DCF460C0DFfac18D7d10b284,1
0x16E1c097869625aAdA9Db899C44b9785BC52d350,1
0x6BD9cd6e342E4A69977F36E2b1238A6e41C649D1,1
0xAB3535Beddf66D1DEf60995D92920666e2AA834f,1
0x08f3BBFa7a84c0a36555b11bdA866bd73f8EA641,1
0xD4A8Af2208452A1D470Ddf2395e17476c40d18E2,1
0x22163d35eD6B09ff61Cb26c4b88A66e932dEc599,1
0x6f7C6691f9387C4e7e05291945ab352CED0Dbdd2,1
0x126EC1F91135a977e129E8Db40aB06a87469Aa57,1
0xD4E73c6D544c0307784a4Ba5680cB825b659571a,1
0x7c541319d10B1392d3F318a11EAd35f3ff3f3A15,1
0x98F9AEB18D4cfc9E15559065CB27D2f4514ab659,1
0xD4bCBa4C17fFC757804be68744a5a5259522806f,1
0x8823Dabc198164Be0Ac99e10E8037e015AaA2C0e,1
0xa77797a13930864D35cd7c53d0830Aa775bB181b,1
0x16070985a4f222A6034bd64636802790a1E93718,1
0xb8BE24f486d39b0D44F2d84456E802b1a9957b27,1
0x66391500a1889ED8be066c75F248B4b3b7D08168,1
0x411d209E4874E00Dd550de43190224515b28fAFe,1
0x7495bc652D193D0EE1A93F94b858B1D547956374,1
0x411dca185A1F84B28892BeD5D24b756d9Fd898db,1
0xa7D9Ce27568862d3531245484E8Cc93c553cCDe9,1
0x32A5D7719fB50c65f76E22D91474648ec9b7b28E,1
0x6fdA189fAd0A3bBB2D8EC05CdAFF3c008d4ddA41,1
0x57042b39D5B4C4943bA59884958004B1D8Cb810d,1
0x6C31212a23040998E1D1c157ACe3982aBDBE3154,1
0xB94aE318Ab1507F43A7298bb70dfbBC380903415,1
0xAC8DF35D5515aDa27aAa2b272Ac05D38EfE21236,1
0xcD9C5768C5283D49A5cF43471353849712ea41BA,1
0x9f0468F465fa6a63D8D028F7580B6CD8c37734d5,1
0x1eab3FADBF8Aa176aF027f30ea2D68c9bff5E27B,1
0x4a532b50AF0f3A551F9096E1a9A9F3041D97C393,1
0x0E80D31beA7EdCF68C6173731bd515A9fb3626D4,1
0xf301693975e32FDE087D2B0ddA3f85488727D018,1
0xf304C31346D5F522129Dc63E3C946Bc23A9F5057,1
0x794c94f1b5E455c1dBA27BB28C6085dB0FE544F9,1
0x9f2E32279da7Cbb2122D01784e8d0A0b2084A9f0,1
